2025-11-27 11:37:27,251 | INFO     | NexusBot | ============================================================
2025-11-27 11:37:27,257 | INFO     | NexusBot | ============================================================
2025-11-27 11:37:27,961 | ERROR    | NexusBot | Error obteniendo datos de mercado: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2025-11-27 11:37:27,961 | ERROR    | NexusBot | No se pudieron obtener datos de mercado
2025-11-27 11:38:27,976 | INFO     | NexusBot | ============================================================
2025-11-27 11:38:27,980 | INFO     | NexusBot | ============================================================
2025-11-27 11:38:28,639 | ERROR    | NexusBot | Error obteniendo datos de mercado: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2025-11-27 11:38:28,639 | ERROR    | NexusBot | No se pudieron obtener datos de mercado
2025-11-27 11:39:30,066 | INFO     | NexusBot | ============================================================
2025-11-27 11:39:30,069 | INFO     | NexusBot | ============================================================
2025-11-27 11:39:30,731 | ERROR    | NexusBot | Error obteniendo datos de mercado: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2025-11-27 11:39:30,731 | ERROR    | NexusBot | No se pudieron obtener datos de mercado
2025-11-27 11:40:30,757 | INFO     | NexusBot | ============================================================
2025-11-27 11:40:30,768 | INFO     | NexusBot | ============================================================
2025-11-27 11:40:31,687 | ERROR    | NexusBot | Error obteniendo datos de mercado: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2025-11-27 11:40:31,687 | ERROR    | NexusBot | No se pudieron obtener datos de mercado
2025-11-27 11:41:31,695 | INFO     | NexusBot | ============================================================
2025-11-27 11:41:31,697 | INFO     | NexusBot | ============================================================
2025-11-27 11:41:32,604 | ERROR    | NexusBot | Error obteniendo datos de mercado: binance {"code":-2008,"msg":"Invalid Api-Key ID."}
2025-11-27 11:41:32,626 | ERROR    | NexusBot | No se pudieron obtener datos de mercado
2025-11-27 11:42:06,051 | WARNING  | NexusBot | No se encontraron usuarios con claves guardadas. El bot no operará.
